,A,B,C,D,E,F,G,H
268,0.007,0.013,-0.0,0.004,-0.008,-0.093,0.709,5819.0699202572
269,-0.034,0.011,-0.006,-0.029,-0.249,-0.115,0.172,6932.888514745835
270,0.009,0.013,-0.015,0.022,-0.098,-0.091,0.09,7451.760936358041
271,0.01,0.011,-0.028,0.038,0.201,-0.054,0.26,7395.812186280615
272,0.011,0.002,-0.022,0.03,-0.001,-0.024,0.292,7337.874064705233
273,0.016,0.029,-0.011,-0.013,-0.188,-0.036,0.047,7214.557213680804
274,-0.007,0.016,-0.004,-0.021,-0.341,-0.054,-0.284,7212.988285031388
275,-0.003,0.006,-0.009,-0.003,0.272,-0.053,-0.079,7271.1467277756165
276,-0.0,0.011,0.0,-0.011,-0.311,-0.062,-0.364,7336.726360183442
277,0.0,0.012,-0.01,0.01,0.401,-0.052,-0.081,7288.87717870975
278,0.001,0.004,-0.006,0.003,-0.23,-0.049,-0.281,6996.529666085975
279,0.021,0.021,0.0,0.0,0.028,-0.051,-0.245,6452.379079802558
280,0.0,0.022,-0.001,-0.007,0.542,-0.06,0.175,5561.883815664201
281,-0.01,0.017,-0.0,-0.023,-0.125,-0.08,0.033,5270.67757553648
282,-0.004,0.021,-0.003,-0.018,0.063,-0.096,-0.207,5002.9296680203115
283,0.016,0.002,-0.026,0.039,0.094,-0.06,-0.176,4289.944178265214
284,0.025,0.006,-0.029,0.033,0.389,-0.023,0.086,4500.065964428795
285,0.012,0.006,-0.023,0.012,-0.092,-0.008,-0.053,4854.280802061534
286,0.005,0.016,-0.01,0.011,-0.265,0.007,-0.3,5412.59194646588
287,0.016,0.021,-0.003,0.0,-0.393,0.014,-0.581,5711.161371431066
288,0.021,0.0,-0.025,0.037,1.313,0.059,-0.041,6723.4815542638535
289,-0.012,0.005,-0.015,0.002,-0.367,0.07,-0.384,7070.441361939971
290,0.005,0.009,-0.01,-0.004,-0.301,0.071,-0.56,7396.01599725007
291,-0.006,0.005,-0.018,-0.008,0.372,0.064,-0.392,7777.61971435044
292,-0.01,0.012,-0.006,-0.008,-0.325,0.054,-0.588,8028.198723053763
293,-0.001,0.0,-0.021,0.009,-0.003,0.063,-0.58,8363.581202231246
294,0.011,0.014,0.0,-0.003,0.087,0.061,-0.521,8522.558548377725
295,0.0,0.0,-0.014,0.014,-0.051,0.078,-0.532,8755.696130910554
296,-0.028,0.02,-0.002,-0.041,0.757,0.038,-0.136,8482.401844562162
